date,project_id,service,sku,cost_eur
2026-05-01,proj-finance,Compute Engine,N1 Standard Core,11.85
2026-05-01,proj-finance,Compute Engine,E2 Instance,15.09
2026-05-01,proj-finance,Compute Engine,GPU NVIDIA T4,14.2
2026-05-01,proj-finance,Cloud Storage,Standard Storage,21.02
2026-05-01,proj-finance,Cloud Storage,Nearline Storage,21.16
2026-05-01,proj-finance,BigQuery,Analysis Queries,15.24
2026-05-01,proj-finance,BigQuery,Storage,38.96
2026-05-01,proj-finance,Cloud SQL,DB Instance,29.26
2026-05-01,proj-finance,Cloud SQL,Storage,17.19
2026-05-01,proj-ml,Compute Engine,N1 Standard Core,5.08
2026-05-01,proj-ml,Compute Engine,E2 Instance,29.74
2026-05-01,proj-ml,Compute Engine,GPU NVIDIA T4,19.92
2026-05-01,proj-ml,Cloud Storage,Standard Storage,6.44
2026-05-01,proj-ml,Cloud Storage,Nearline Storage,42.14
2026-05-01,proj-ml,BigQuery,Analysis Queries,9.91
2026-05-01,proj-ml,BigQuery,Storage,5.34
2026-05-01,proj-ml,Cloud SQL,DB Instance,33.28
2026-05-01,proj-ml,Cloud SQL,Storage,40.53
2026-05-01,proj-platform,Compute Engine,N1 Standard Core,13.39
2026-05-01,proj-platform,Compute Engine,E2 Instance,7.06
2026-05-01,proj-platform,Compute Engine,GPU NVIDIA T4,18.21
2026-05-01,proj-platform,Cloud Storage,Standard Storage,30.98
2026-05-01,proj-platform,Cloud Storage,Nearline Storage,9.86
2026-05-01,proj-platform,BigQuery,Analysis Queries,5.31
2026-05-01,proj-platform,BigQuery,Storage,39.72
2026-05-01,proj-platform,Cloud SQL,DB Instance,39.35
2026-05-01,proj-platform,Cloud SQL,Storage,10.96
2026-05-02,proj-finance,Compute Engine,N1 Standard Core,44.93
2026-05-02,proj-finance,Compute Engine,E2 Instance,5.78
2026-05-02,proj-finance,Compute Engine,GPU NVIDIA T4,15.92
2026-05-02,proj-finance,Cloud Storage,Standard Storage,6.47
2026-05-02,proj-finance,Cloud Storage,Nearline Storage,7.73
2026-05-02,proj-finance,BigQuery,Analysis Queries,10.53
2026-05-02,proj-finance,BigQuery,Storage,18.63
2026-05-02,proj-finance,Cloud SQL,DB Instance,43.39
2026-05-02,proj-finance,Cloud SQL,Storage,24.13
2026-05-02,proj-ml,Compute Engine,N1 Standard Core,25.41
2026-05-02,proj-ml,Compute Engine,E2 Instance,10.03
2026-05-02,proj-ml,Compute Engine,GPU NVIDIA T4,33.03
2026-05-02,proj-ml,Cloud Storage,Standard Storage,33.07
2026-05-02,proj-ml,Cloud Storage,Nearline Storage,33.83
2026-05-02,proj-ml,BigQuery,Analysis Queries,11.73
2026-05-02,proj-ml,BigQuery,Storage,21.29
2026-05-02,proj-ml,Cloud SQL,DB Instance,26.25
2026-05-02,proj-ml,Cloud SQL,Storage,40.31
2026-05-02,proj-platform,Compute Engine,N1 Standard Core,12.65
2026-05-02,proj-platform,Compute Engine,E2 Instance,28.0
2026-05-02,proj-platform,Compute Engine,GPU NVIDIA T4,39.87
2026-05-02,proj-platform,Cloud Storage,Standard Storage,32.89
2026-05-02,proj-platform,Cloud Storage,Nearline Storage,42.9
2026-05-02,proj-platform,BigQuery,Analysis Queries,42.26
2026-05-02,proj-platform,BigQuery,Storage,25.57
2026-05-02,proj-platform,Cloud SQL,DB Instance,12.0
2026-05-02,proj-platform,Cloud SQL,Storage,21.38
2026-05-03,proj-finance,Compute Engine,N1 Standard Core,29.42
2026-05-03,proj-finance,Compute Engine,E2 Instance,19.48
2026-05-03,proj-finance,Compute Engine,GPU NVIDIA T4,14.28
2026-05-03,proj-finance,Cloud Storage,Standard Storage,48.45
